"","vote16","protest","vote20jb","vote20bs","apppres7","econpres7","covidpres7","healthcarepres7","dtleader1","dtleader2","econnow","confecon","taxecon","hlthcare2","covid1","covid2","covid_elect","impeach1","impeach2","inc_anes","inc_cpsmod"
"3064",1,0,1,1,1,1,88,2,88,1,1,5,1,5,1,1,1,1,1,22,66
"3065",1,0,1,1,1,1,88,1,88,1,1,5,1,5,1,1,1,3,3,22,66
"3066",4,0,4,4,4,4,88,4,88,3,3,3,3,3,3,3,2,4,4,66,66
"3067",1,0,2,1,3,2,88,5,88,3,2,3,3,3,2,2,2,3,4,15,66
"3068",1,0,1,1,2,2,88,1,88,1,1,4,2,2,2,2,1,6,5,66,20
"3069",1,0,1,1,2,3,88,1,88,1,1,4,2,4,1,1,1,2,2,66,66
"3070",4,0,4,4,5,6,88,3,88,3,5,5,2,2,5,1,1,6,2,5,66
"3071",1,0,1,1,1,1,88,1,88,1,1,1,1,1,1,1,1,1,1,1,66
"3072",2,0,2,2,7,7,88,7,88,5,5,5,6,2,1,3,3,1,7,66,66
"3073",1,0,1,1,1,1,88,2,88,2,4,2,1,1,4,2,2,7,1,66,3
"3074",1,0,1,1,1,1,88,3,88,1,5,4,1,5,1,1,4,7,7,26,66
"3075",1,0,3,3,6,3,88,6,88,5,5,5,3,5,4,1,2,7,3,66,15
"3076",2,0,2,2,7,6,88,7,88,5,5,5,4,4,3,2,3,1,7,66,14
"3077",2,0,3,2,7,6,88,7,88,5,5,5,4,4,2,1,3,1,7,13,66
"3078",1,0,1,1,2,2,88,3,88,3,5,3,3,2,3,2,2,7,1,66,20
"3079",1,0,1,1,1,1,88,2,88,1,1,2,1,2,1,2,4,7,1,13,66
"3080",1,0,2,4,6,7,88,7,88,5,3,5,6,1,1,1,2,7,7,66,66
